,gender,age,occupation,interest,purchase,products,money_spent,fashion_segments,customer_decision:_price,customer_decision:_style,customer_decision:_quality,customer_decision:_brand,customer_decision:_comfort,customer_decision:_sustainability,brand_familiarity:_ausweichoption_(negativ)_oder_anzahl_ausgewählter_optionen,brand_familiarity:_zara,brand_familiarity:_h&m,brand_familiarity:_adidas,brand_familiarity:_patagonia,brand_familiarity:_uniqlo,brand_familiarity:_weekday,brand_familiarity:_all_of_them,interest.1,industries,information,price_relevance,sustainable_option,transparency,recycle_:_ausweichoption_(negativ)_oder_anzahl_ausgewählter_optionen,recycle_:_recycling/upcycling_of_clothing,recycle_:_purchasing_second-hand/vintage_clothing,recycle_:_purchasing_sustainable_clothing,recycle_:_none,sustainable_brands:_[01],preference,budget
21,2,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,nike,5.0,3.0
22,1,3.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,other,1.0,3.0
23,1,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,other,1.0,4.0
24,1,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,other,3.0,5.0
25,1,2.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,adidas,4.0,4.0
26,2,3.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,other,3.0,4.0
27,1,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,other,3.0,4.0
28,1,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,1.0,levi's patagonia,3.0,5.0
29,1,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,other,3.0,4.0
30,1,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,other,3.0,2.0
31,2,2.0,4.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,alohas,3.0,4.0
32,"1,2,1,1,2,3,1,1,1,2,3,3,1,2,3,2,2,2,1,1,1,1,2,1,2,3,1,2,1,3,2,2,2,1,""Zara, H&m, Adidas"",1,4,,,,,,,,,,,,",109.0,70.0,152.0,127.0,79.0,96.0,76.0,88.0,93.0,83.0,77.0,86.0,84.0,62.0,137.0,132.0,126.0,126.0,127.0,174.0,164.0,101.0,66.0,116.0,80.0,85.0,141.0,119.0,103.0,104.0,134.0,169.0,other,60.0,75.0
33,1,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,other,4.0,5.0
34,1,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,other,3.0,3.0
35,1,3.0,5.0,1.0,2.0,1.0,7.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,7.0,1.0,3.0,2.0,2.0,2.0,1.0,other,4.0,4.0
36,1,2.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,other,3.0,3.0
37,1,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,other,4.0,4.0
38,2,2.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,ice breaker,1.0,4.0
39,2,2.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,7.0,3.0,0.0,1.0,1.0,1.0,1.0,other,1.0,5.0
40,2,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,nike,1.0,4.0
41,"1,2,1,1,1,4,1,2,1,1,2,4,2,3,1,1,1,1,1,1,1,2,4,5,2,5,1,5,1,1,1,2,1,1,""Patagonia, Reformation"",4,5,,,,,,,,,,,,",109.0,70.0,152.0,127.0,79.0,96.0,76.0,88.0,93.0,83.0,77.0,86.0,84.0,62.0,137.0,132.0,126.0,126.0,127.0,174.0,164.0,101.0,66.0,116.0,80.0,85.0,141.0,119.0,103.0,104.0,134.0,169.0,other,60.0,75.0
42,1,3.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,other,6.0,4.0
43,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,other,3.0,4.0
44,1,2.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,other,7.0,3.0
45,1,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,other,7.0,5.0
46,"2,2,4,1,1,4,2,3,3,2,1,2,2,3,1,1,1,1,1,1,1,2,3,1,2,4,1,5,1,1,1,1,2,1,""Asket, Arket, Adaysmarch"",5,5,,,,,,,,,,,,",109.0,70.0,152.0,127.0,79.0,96.0,76.0,88.0,93.0,83.0,77.0,86.0,84.0,62.0,137.0,132.0,126.0,126.0,127.0,174.0,164.0,101.0,66.0,116.0,80.0,85.0,141.0,119.0,103.0,104.0,134.0,169.0,other,60.0,75.0
47,1,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,other,2.0,5.0
48,1,3.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,other,7.0,3.0
49,1,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,other,1.0,3.0
50,2,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,other,3.0,4.0
51,1,3.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,other,4.0,5.0
52,2,2.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,other,1.0,4.0
53,2,3.0,3.0,152.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,other,1.0,3.0
54,1,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,other,1.0,4.0
55,2,2.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,na,1.0,4.0
56,2,2.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,other,5.0,5.0
57,1,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,other,1.0,2.0
58,1,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,other,1.0,4.0
59,1,3.0,4.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,carla fernandez,5.0,2.0
60,2,3.0,4.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,other,6.0,3.0
61,1,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,other,4.0,4.0
62,1,1.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,other,4.0,5.0
63,1,3.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,other,3.0,4.0
64,2,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,other,5.0,5.0
65,2,2.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,other,4.0,4.0
